
Sync-Point 0, Time: 0, Systemstep: 0, Nsync-grv:      65752, Nsync-hyd:      65752
Sync-Point 229, Time: 0.899414, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      27881

Sync-Point 230, Time: 0.900879, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      12561

Sync-Point 231, Time: 0.902344, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 232, Time: 0.903809, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      12914

Sync-Point 233, Time: 0.905273, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      28603

Sync-Point 234, Time: 0.906738, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      13340

Sync-Point 235, Time: 0.908203, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      34372

Sync-Point 236, Time: 0.909668, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      13749

Sync-Point 237, Time: 0.911133, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      29361

Sync-Point 238, Time: 0.912598, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      14155

Sync-Point 239, Time: 0.914062, Systemstep: 0.00146484, Nsync-grv:      65752, Nsync-hyd:      65752

Sync-Point 240, Time: 0.915527, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      14485

Sync-Point 241, Time: 0.916992, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      30105

Sync-Point 242, Time: 0.918457, Systemstep: 0.00146484, Nsync-grv:          0, Nsync-hyd:      14914

